event,full,no_race_state,symmetric_pack,rivals_no_history,place_value_task1,hetero_pack,no_family_logit,rival_rate_levels_1,extrap_off,race_state_no_cover,race_state_lead_lap_value,race_state_undiscounted,no_first_stop_prior,no_plan_prior,no_nomination_mapping,no_dirty_air_circuit,no_position,no_pace_cal,config_constants,practice_only,old_budget,no_cliff_budgets,no_circuit_regime_prior,field_modal,field_first,full_first_err,no_race_state_first_err,symmetric_pack_first_err,rivals_no_history_first_err,place_value_task1_first_err,hetero_pack_first_err,no_family_logit_first_err,rival_rate_levels_1_first_err,extrap_off_first_err,race_state_no_cover_first_err,race_state_lead_lap_value_first_err,race_state_undiscounted_first_err,no_first_stop_prior_first_err,no_plan_prior_first_err,no_nomination_mapping_first_err,no_dirty_air_circuit_first_err,no_position_first_err,no_pace_cal_first_err,config_constants_first_err,practice_only_first_err,old_budget_first_err,no_cliff_budgets_first_err,no_circuit_regime_prior_first_err,full_share,no_race_state_share,symmetric_pack_share,rivals_no_history_share,place_value_task1_share,hetero_pack_share,no_family_logit_share,rival_rate_levels_1_share,extrap_off_share,race_state_no_cover_share,race_state_lead_lap_value_share,race_state_undiscounted_share,no_first_stop_prior_share,no_plan_prior_share,no_nomination_mapping_share,no_dirty_air_circuit_share,no_position_share,no_pace_cal_share,config_constants_share,practice_only_share,old_budget_share,no_cliff_budgets_share,no_circuit_regime_prior_share,race_lap_fe,ordered_lapfe,model_ordered
australia-2026,"2-stop M-H-H @ 14,36","2-stop M-H-H @ 17,38","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 13,35","2-stop M-H-H @ 15,36","2-stop M-H-H @ 12,35","2-stop M-H-H @ 14,36",1-stop H-M @ 27,1-stop M-H @ 21,"2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,37","2-stop M-H-H @ 11,34",1-stop H-M @ 36,1-stop M-H @ 27,"2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36","2-stop M-H-H @ 14,36",MEDIUM-HARD,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.53,0.07,0.07,0.07,0.0,0.53,0.07,0.07,0.07,"{'HARD': 0.0336, 'MEDIUM': 0.0249, 'SOFT': 0.0445}",False,True
japan-2026,1-stop M-H @ 19,1-stop M-H @ 22,1-stop M-H @ 19,1-stop M-H @ 21,1-stop M-H @ 19,1-stop M-H @ 21,1-stop M-H @ 20,1-stop M-H @ 19,1-stop M-H @ 19,1-stop M-H @ 18,1-stop M-H @ 20,1-stop M-H @ 15,1-stop M-H @ 19,1-stop H-S @ 31,1-stop M-H @ 19,1-stop M-H @ 19,1-stop M-H @ 19,1-stop M-H @ 14,1-stop H-M @ 34,1-stop M-S @ 31,1-stop M-H @ 19,1-stop M-H @ 19,1-stop M-H @ 19,MEDIUM-HARD,18.0,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.0,0.85,0.85,0.85,0.85,0.05,0.0,0.85,0.85,0.85,"{'HARD': 0.0204, 'MEDIUM': 0.0592}",True,True
barcelona-2026,"3-stop M-S-S-M @ 12,29,47","3-stop M-M-S-S @ 16,32,49","3-stop M-S-S-M @ 12,29,47","3-stop M-S-S-M @ 13,30,48","3-stop M-S-S-M @ 12,29,47","3-stop M-S-S-M @ 13,30,48","3-stop M-S-S-M @ 14,31,48","3-stop M-S-S-M @ 12,29,47","3-stop M-S-M-S @ 12,30,47","3-stop M-M-S-S @ 12,29,47","3-stop M-S-S-M @ 13,30,48","3-stop M-M-S-S @ 10,28,46","3-stop M-S-S-M @ 12,29,47","3-stop H-S-S-M @ 14,31,48","3-stop S-M-M-S @ 13,30,47","3-stop M-S-S-M @ 12,29,47","3-stop M-M-S-S @ 12,30,48","2-stop M-H-H @ 14,39","2-stop S-H-H @ 18,42","3-stop M-S-M-S @ 12,30,47","3-stop M-S-S-M @ 12,29,47","3-stop M-S-S-M @ 12,29,47","3-stop M-S-S-M @ 12,29,47",MEDIUM-HARD-HARD,13.0,-1.0,3.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-3.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,5.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.08,0.0,0.0,0.0,0.0,"{'HARD': 0.1105, 'MEDIUM': 0.1566, 'SOFT': 0.1722}",True,True
austria-2026,"2-stop M-H-M @ 20,44","2-stop M-H-M @ 22,45","2-stop M-H-M @ 20,44","2-stop M-H-M @ 23,45","2-stop M-H-M @ 20,44","2-stop M-H-M @ 23,45","2-stop M-H-M @ 22,45","2-stop M-H-M @ 20,44","2-stop M-H-M @ 20,44","2-stop M-H-M @ 19,43","2-stop M-M-H @ 21,43","2-stop S-H-M @ 16,41","2-stop M-H-M @ 20,44","3-stop S-S-M-M @ 15,33,50","2-stop M-H-M @ 20,44","2-stop M-H-M @ 20,44","2-stop M-H-M @ 19,46","2-stop M-H-H @ 18,42","2-stop S-H-H @ 18,45","2-stop M-M-H @ 19,41","2-stop M-H-M @ 20,44","2-stop M-H-M @ 20,44","2-stop M-H-M @ 20,43",MEDIUM-HARD-HARD,18.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,2.0,1.0,3.0,-2.0,2.0,-3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.0,0.24,0.24,0.24,0.29,0.0,0.24,0.24,0.24,0.24,"{'HARD': 0.0783, 'MEDIUM': 0.0703, 'SOFT': 0.0504}",False,False
belgium-2026,1-stop M-S @ 16,1-stop M-S @ 20,1-stop M-S @ 16,1-stop M-S @ 17,1-stop M-S @ 16,1-stop M-S @ 19,1-stop M-S @ 19,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 17,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,1-stop S-M @ 24,1-stop M-S @ 17,1-stop M-S @ 16,1-stop M-S @ 16,1-stop M-S @ 16,MEDIUM-HARD,16.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.05,"{'HARD': 0.0357, 'MEDIUM': 0.1166, 'SOFT': 0.0517}",False,False
hungary-2026,"2-stop M-H-M @ 18,43","2-stop M-H-M @ 23,46","2-stop M-H-M @ 18,43","2-stop M-H-M @ 19,44","2-stop M-H-M @ 18,43","2-stop M-H-M @ 19,44","2-stop M-H-M @ 19,44","2-stop M-H-M @ 18,43","2-stop M-H-M @ 18,43","2-stop M-H-M @ 17,43","2-stop M-H-M @ 20,44","2-stop M-H-M @ 15,42","2-stop M-H-M @ 18,43","2-stop S-M-M @ 17,43","2-stop M-H-M @ 18,43","2-stop M-H-M @ 18,43","2-stop M-H-M @ 18,44","2-stop M-H-H @ 18,43","2-stop S-M-M @ 19,45","2-stop M-H-M @ 18,44","2-stop M-H-M @ 18,43","2-stop M-H-M @ 18,43","2-stop M-H-M @ 19,44",MEDIUM-HARD-HARD,19.0,-1.0,4.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-2.0,1.0,-4.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,"{'HARD': 0.0824, 'MEDIUM': 0.0648, 'SOFT': 0.0475}",False,True
italy-2026,1-stop M-H @ 21,1-stop M-H @ 26,1-stop M-H @ 21,1-stop M-H @ 22,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 22,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 20,1-stop M-H @ 22,1-stop M-H @ 17,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 20,1-stop M-H @ 24,1-stop M-H @ 23,1-stop M-H @ 21,1-stop M-H @ 21,1-stop M-H @ 21,MEDIUM-HARD,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,"{'HARD': 0.0039, 'MEDIUM': 0.0106, 'SOFT': 0.0826}",True,True
