fold,n_pairs,n_gaps,psi_raw,psi_shrunk,prior,prior_pairs,psi_ci,psi_pair_range,V_all,V_lead,V_mid,V_ci,pv_task1,pv_lead,pv_reg,pv_sd,pv_ci
pooled,35,115,0.743,0.741,0.727,3.7,"[0.572, 0.8517]",0.0382,5.49,3.86,5.85,"[4.3, 8.014]",2.668,1.873,2.651,1.117,"[0.847, 4.579]"
-AUS,34,101,0.735,0.726,0.672,5.9,"[0.5391, 0.8333]",0.0378,5.16,3.87,5.16,"[4.22, 7.738]",2.429,1.822,2.332,0.964,"[0.379, 3.724]"
-JPN,29,96,0.724,0.723,0.706,2.7,"[0.5071, 0.8627]",0.0461,5.75,4.19,8.01,"[4.3, 9.691]",2.578,1.878,2.56,1.418,"[0.083, 5.118]"
-BCN,30,103,0.767,0.766,0.752,2.0,"[0.5679, 0.8793]",0.04,4.58,3.48,5.16,"[4.22, 5.87]",2.445,1.855,2.436,1.013,"[0.674, 4.181]"
-AUT,25,99,0.68,0.682,0.692,3.5,"[0.5, 0.8129]",0.0563,5.65,3.87,4.5,"[4.3, 9.649]",2.035,1.394,2.052,1.285,"[0.004, 4.478]"
-BEL,31,97,0.806,0.797,0.5,1.0,"[0.7115, 0.8784]",0.0489,5.85,3.86,6.45,"[4.3, 9.691]",3.585,2.363,3.473,0.876,"[2.61, 5.418]"
-HUN,26,97,0.731,0.73,0.717,2.5,"[0.4854, 0.8654]",0.0496,5.65,3.86,5.51,"[4.584, 9.511]",2.609,1.78,2.595,1.418,"[0.0, 5.016]"
-ITA,35,97,0.743,0.741,0.727,3.7,"[0.5726, 0.8455]",0.0382,5.16,3.74,5.51,"[4.22, 9.691]",2.507,1.819,2.491,1.177,"[0.877, 4.782]"
