event,recommended,tyre_optimal,baseline,v2,winner,winner_pits,field_modal,stops_match_mode,stops_share,seq_share,seq_in_top5,start_ok,first_rec_minus_field,first_tyre_minus_field,first_baseline_minus_field,first_v2_minus_field,first_stop_s,sc_set_first,regret_tool,regret_tyre_opt,regret_baseline,regret_v2,regret_field,regret_winner,win1_inside,win1_err,collapse_n,collapse_abs_err_laps,rpos_tool,rpos_tyre_opt,rpos_field,L_tool,L_field
australia-2026,"2-stop M-H-H @ 14,36",1-stop H-M @ 33,1-stop H-M @ 36,1-stop M-H @ 23,MEDIUM-HARD,[12],MEDIUM-HARD,False,0.4,0.07,False,True,-11.0,8.0,11.0,-2.0,0.0,True,28.31,8.14,11.06,9.36,20.32,25.55,0.0,5.0,0,,29.0,12.7,20.66,0.2724,0.1205
japan-2026,1-stop M-H @ 19,1-stop H-S @ 33,1-stop S-H @ 21,1-stop M-H @ 23,MEDIUM-HARD,[22],MEDIUM-HARD,True,0.9,0.85,True,True,1.0,15.0,3.0,5.0,0.0,True,0.56,,,0.61,0.41,0.47,1.0,1.0,1,54.219083858113976,0.68,,1.78,0.1582,0.6465
barcelona-2026,"3-stop M-S-M-S @ 12,30,47","3-stop M-M-S-S @ 16,32,49","2-stop M-H-H @ 19,43","2-stop S-M-S @ 21,43",SOFT-HARD-MEDIUM-HARD,"[11, 27, 41]",MEDIUM-HARD-HARD,False,0.46,0.0,False,True,-1.0,3.0,6.0,8.0,0.0,False,3.7,1.05,5.57,6.91,11.34,9.11,0.6666666666666666,1.5,1,0.5317315139523267,0.35,2.43,9.76,-0.9208,-0.1978
austria-2026,"2-stop M-H-M @ 20,43","3-stop S-S-M-M @ 18,36,54","2-stop M-H-H @ 23,47","2-stop M-H-M @ 22,46",MEDIUM-HARD-HARD,"[19, 43]",MEDIUM-HARD-HARD,True,0.82,0.24,False,True,2.0,0.0,5.0,4.0,0.0,False,15.38,0.48,25.13,14.91,28.73,28.75,0.8461538461538461,2.0,2,15.393658994277011,16.39,0.32,29.2,0.3988,0.1327
belgium-2026,1-stop M-S @ 16,1-stop S-M @ 23,1-stop S-M @ 24,1-stop M-S @ 20,MEDIUM-SOFT,[18],MEDIUM-HARD,True,0.95,0.05,True,True,0.0,7.0,8.0,4.0,0.0,True,12.14,13.98,12.83,14.94,12.15,13.18,0.3333333333333333,1.0,0,,10.13,15.42,12.98,-0.2013,0.6139
hungary-2026,"2-stop M-H-M @ 18,43","2-stop M-M-S @ 25,51","2-stop M-H-M @ 23,47","2-stop M-H-H @ 22,46",MEDIUM-HARD-HARD-SOFT,"[17, 39, 56]",MEDIUM-HARD-HARD,True,0.63,0.0,False,True,-1.0,6.0,4.0,3.0,0.0,False,23.89,1.29,21.64,34.02,36.74,32.58,0.3333333333333333,4.0,0,,24.4,4.7,38.15,-0.3947,-0.0473
italy-2026,1-stop M-H @ 21,1-stop H-M @ 28,1-stop M-H @ 23,1-stop M-H @ 25,HARD-MEDIUM-MEDIUM,"[3, 28]",MEDIUM-HARD,True,0.53,0.32,True,True,,,,,0.0,True,4.67,4.08,4.02,3.45,14.47,31.66,,,0,,,,,,
