event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
australia-2026,sealed,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.14148408779634927,0.39177977868709024,0.9011494252873563
australia-2026,sealed_v3,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.14148408779634927,0.39177977868709024,0.9011494252873563
australia-2026,practice_only,23,0.055113106927091045,0.041217124593299646,0.4782608695652174,0.7391304347826086,0.11712504979875929,0.1403049873000088,-0.14266271467350794,0.44232478848590245,0.8459770114942529
australia-2026,practice_no_regime,23,0.05419962700402046,0.037998095185389984,0.6521739130434783,0.782608695652174,0.12441436238496964,0.14885075364613326,-0.12051269628757233,0.4350035994056395,0.8574712643678161
australia-2026,sealed_geomean,23,0.04952707774644323,0.014925052738335028,0.782608695652174,0.782608695652174,0.1412125463513794,0.17180054793952176,-0.09601845913261972,0.3937124956566531,0.896551724137931
australia-2026,regime_v2_temperature,23,0.048926073242024956,0.011897132561047992,0.782608695652174,0.782608695652174,0.14860985121685652,0.18042567055552955,-0.14080011984168564,0.391320478996485,0.9011494252873563
australia-2026,regime_v3_pooled,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.14148408779634927,0.39177977868709024,0.9011494252873563
australia-2026,regime_v3_circuit,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.14148408779634927,0.39177977868709024,0.9011494252873563
australia-2026,regime_oracle_temperature,23,0.048957498036218364,0.01190885626205864,0.782608695652174,0.782608695652174,0.1462620708086662,0.17792229302621915,-0.1536093839821988,0.39153867140999726,0.8988505747126436
australia-2026,sealed_perfect_t,23,0.048957498036218364,0.01190885626205864,0.782608695652174,0.782608695652174,0.1462620708086662,0.17792229302621915,-0.1536093839821988,0.39153867140999726,0.8988505747126436
australia-2026,sealed_driver,23,0.04897244533989799,0.008130125549876835,0.782608695652174,0.8260869565217391,0.1507209557060207,0.1838512855878996,-0.09933284217257345,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_hist,23,0.04897244533989799,0.008130125549876835,0.782608695652174,0.8260869565217391,0.1507209557060207,0.1838512855878996,-0.09933284217257345,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_practice_dev,23,0.05298915783453305,0.014920017770101218,0.6956521739130435,0.782608695652174,0.1394442628690135,0.16967731259274552,-0.4175932917205202,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_team_pooled,23,0.0529955034858789,0.014937720034375618,0.6956521739130435,0.782608695652174,0.13901937351675678,0.16916142302223594,-0.3928836294885368,0.39177977868709024,0.9011494252873563
