event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
australia-2026,baseline_sealed[old_sigma],23,0.43440460140864834,-0.41744528427527533,0.9130434782608695,0.9565217391304348,1.7670979974891865,2.4575755476338883,-0.08201581027667984,4.524472802045878,0.7563218390804598
australia-2026,baseline_sealed[race_sigma],23,0.43440460140864834,-0.41744528427527533,0.6956521739130435,0.8695652173913043,1.6763884856893931,2.3494961293192405,-0.08201581027667984,4.524472802045878,0.7011494252873564
australia-2026,baseline_practice_only[old_sigma],23,0.05440132332711562,0.04216717063097443,0.8260869565217391,0.8260869565217391,0.20262020793289826,0.24272239404833182,-0.1314229249011858,0.4243501156846665,0.9747126436781609
australia-2026,baseline_practice_only[race_sigma],23,0.05440132332711562,0.04216717063097443,0.6086956521739131,0.782608695652174,0.11191069613310446,0.13464297573368392,-0.1314229249011858,0.4243501156846665,0.8574712643678161
australia-2026,v2_sealed[old_sigma],23,0.048926073242024956,0.011897132561047992,0.8695652173913043,1.0,0.2400347697549333,0.28935748838813163,-0.14080011984168564,0.391320478996485,0.9816091954022989
australia-2026,v2_sealed[race_sigma],23,0.048926073242024956,0.011897132561047992,0.782608695652174,0.782608695652174,0.14860985121685652,0.18042567055552955,-0.14080011984168564,0.391320478996485,0.9011494252873563
australia-2026,v2_practice_only[old_sigma],23,0.05529379153670663,0.04175520886886228,0.8260869565217391,0.8695652173913043,0.20741323595207134,0.2480819785647429,-0.1289540568137511,0.44360294510252507,0.9724137931034482
australia-2026,v2_practice_only[race_sigma],23,0.05529379153670663,0.04175520886886228,0.4782608695652174,0.7391304347826086,0.11598831741399458,0.13915016073214084,-0.1289540568137511,0.44360294510252507,0.8436781609195402
japan-2026,baseline_sealed[old_sigma],19,0.023756889692429034,-0.02110232664709729,1.0,1.0,0.2953167810472922,0.3546876165626149,0.2834576841549152,0.2726720365541297,1.0
japan-2026,baseline_sealed[race_sigma],19,0.023756889692429034,-0.02110232664709729,1.0,1.0,0.18412182199449428,0.22220000577630247,0.2834576841549152,0.2726720365541297,0.9852941176470589
japan-2026,baseline_practice_only[old_sigma],19,0.019520842812053168,0.0022342596234480364,1.0,1.0,0.26964354461150086,0.3241533641328695,-0.04826678832359237,0.25219389930769004,0.9970588235294118
japan-2026,baseline_practice_only[race_sigma],19,0.019520842812053168,0.0022342596234480364,1.0,1.0,0.15844858555870292,0.19166575334655708,-0.04826678832359237,0.25219389930769004,0.9705882352941176
japan-2026,v2_sealed[old_sigma],19,0.029014425668219393,-0.028868403403796733,1.0,1.0,0.3075726811512862,0.3711465242138464,0.46467669023821523,0.29212871006464924,1.0
japan-2026,v2_sealed[race_sigma],19,0.029014425668219393,-0.028868403403796733,1.0,1.0,0.19934651780073495,0.24219620192382801,0.46467669023821523,0.29212871006464924,0.9882352941176471
japan-2026,v2_practice_only[old_sigma],19,0.01757506592857131,-0.006186870917087088,1.0,1.0,0.2862176090911851,0.3437006551555064,0.4094413711780992,0.2593597323623622,1.0
japan-2026,v2_practice_only[race_sigma],19,0.01757506592857131,-0.006186870917087088,1.0,1.0,0.17799144574063394,0.21475033286548784,0.4094413711780992,0.2593597323623622,0.9852941176470589
barcelona-2026,baseline_sealed[old_sigma],31,0.04099488039009148,0.012987445917689232,1.0,1.0,0.3348715066451661,0.4054144394945323,-0.018145161290322582,0.38191629946066386,0.9863813229571985
barcelona-2026,baseline_sealed[race_sigma],31,0.04099488039009148,0.012987445917689232,1.0,1.0,0.2468826480915493,0.3005766505795848,-0.018145161290322582,0.38191629946066386,0.9552529182879378
barcelona-2026,baseline_practice_only[old_sigma],31,0.0412896128868867,0.002529503360898205,1.0,1.0,0.34956687645455103,0.422045676809049,-0.018145161290322582,0.38598327183590725,0.9863813229571985
barcelona-2026,baseline_practice_only[race_sigma],31,0.0412896128868867,0.002529503360898205,0.967741935483871,1.0,0.2615780179009343,0.3172078878941015,-0.018145161290322582,0.38598327183590725,0.9649805447470817
barcelona-2026,v2_sealed[old_sigma],31,0.039871035627416035,0.011586297636998484,1.0,1.0,0.34102322718961237,0.41169326794242983,0.22368446404275444,0.3783008085209449,0.9863813229571985
barcelona-2026,v2_sealed[race_sigma],31,0.039871035627416035,0.011586297636998484,1.0,1.0,0.2523982219681069,0.30609751704021065,0.22368446404275444,0.3783008085209449,0.9571984435797666
barcelona-2026,v2_practice_only[old_sigma],31,0.04984979984692888,-0.025472485569983938,1.0,1.0,0.43329596838012924,0.5325380854740088,0.07807543293557934,0.41879914625490533,0.9863813229571985
barcelona-2026,v2_practice_only[race_sigma],31,0.04984979984692888,-0.025472485569983938,1.0,1.0,0.34467096315862394,0.4269423345717896,0.07807543293557934,0.41879914625490533,0.9785992217898832
austria-2026,baseline_sealed[old_sigma],40,0.0319916451452865,-0.010236572990210363,1.0,1.0,0.3056787012137711,0.36838573645988515,0.0727954971857411,0.34582552814098205,0.988155668358714
austria-2026,baseline_sealed[race_sigma],40,0.0319916451452865,-0.010236572990210363,1.0,1.0,0.2259064341980638,0.2733379289518083,0.0727954971857411,0.34582552814098205,0.9644670050761421
austria-2026,baseline_practice_only[old_sigma],40,0.030197578162773554,0.0035026251632570503,1.0,1.0,0.28532896432275084,0.3421724392734401,0.04934333958724203,0.3392896090874452,0.9813874788494078
austria-2026,baseline_practice_only[race_sigma],40,0.030197578162773554,0.0035026251632570503,1.0,1.0,0.20555669730704357,0.2471246317653632,0.04934333958724203,0.3392896090874452,0.9576988155668359
austria-2026,v2_sealed[old_sigma],40,0.03292387999638983,-0.01698358207511265,1.0,1.0,0.2797972500018395,0.33420772034752405,0.0015977756869580528,0.3593628633643465,0.9864636209813875
austria-2026,v2_sealed[race_sigma],40,0.03292387999638983,-0.01698358207511265,0.975,1.0,0.19905435150067138,0.23800341575038755,0.0015977756869580528,0.3593628633643465,0.9526226734348562
austria-2026,v2_practice_only[old_sigma],40,0.0362430178827967,-0.02355376437344442,1.0,1.0,0.29359445411488433,0.3507181427853089,0.05047457665845317,0.36829452103942234,0.988155668358714
austria-2026,v2_practice_only[race_sigma],40,0.0362430178827967,-0.02355376437344442,1.0,1.0,0.2128515556137162,0.2545138381881723,0.05047457665845317,0.36829452103942234,0.9543147208121827
belgium-2026,baseline_sealed[old_sigma],19,0.03028211424909071,-0.008967774725044978,1.0,1.0,0.19110371469008058,0.22942917091162976,-0.5325140034074743,0.2873843633159228,0.9763313609467456
belgium-2026,baseline_sealed[race_sigma],19,0.03028211424909071,-0.008967774725044978,1.0,1.0,0.1853097549463755,0.2225257295148748,-0.5325140034074743,0.2873843633159228,0.9644970414201184
belgium-2026,baseline_practice_only[old_sigma],19,0.03786126897626417,-0.019288867923033453,1.0,1.0,0.20801699866180168,0.2502394893624162,-0.5395438912412364,0.3084782194795207,0.9822485207100592
belgium-2026,baseline_practice_only[race_sigma],19,0.03786126897626417,-0.019288867923033453,1.0,1.0,0.20222303891809656,0.24333604796566113,-0.5395438912412364,0.3084782194795207,0.9763313609467456
belgium-2026,v2_sealed[old_sigma],19,0.05234410482926047,-0.04558777094975741,1.0,1.0,0.20401115021468688,0.2459282394631687,0.028331999871919412,0.3744288766173864,0.9704142011834319
belgium-2026,v2_sealed[race_sigma],19,0.05234410482926047,-0.04558777094975741,1.0,1.0,0.19851066370403608,0.2393744683015422,0.028331999871919412,0.3744288766173864,0.9615384615384616
belgium-2026,v2_practice_only[old_sigma],19,0.0831344353509116,-0.08154571944166213,0.9473684210526315,1.0,0.2605310903451028,0.31325517248118695,-0.2181555352842521,0.5166847029980676,0.9644970414201184
belgium-2026,v2_practice_only[race_sigma],19,0.0831344353509116,-0.08154571944166213,0.8421052631578947,1.0,0.25503060383445203,0.30670140131956053,-0.2181555352842521,0.5166847029980676,0.9556213017751479
hungary-2026,baseline_sealed[old_sigma],43,0.04626701956464353,0.016591645531223453,0.9534883720930233,1.0,0.23980031128908322,0.2891500181247898,-0.25445484747810326,0.41589485078782107,0.9651515151515152
hungary-2026,baseline_sealed[race_sigma],43,0.04626701956464353,0.016591645531223453,0.8372093023255814,0.9767441860465116,0.19327778518203415,0.23371892318873136,-0.25445484747810326,0.41589485078782107,0.943939393939394
hungary-2026,baseline_practice_only[old_sigma],43,0.04862216042855328,0.03161976404818789,0.9069767441860465,0.9767441860465116,0.22759919171581808,0.27452347519324466,-0.25445484747810326,0.4145248687311545,0.9621212121212122
hungary-2026,baseline_practice_only[race_sigma],43,0.04862216042855328,0.03161976404818789,0.8837209302325582,0.9069767441860465,0.18107666560876898,0.21909238025718625,-0.25445484747810326,0.4145248687311545,0.9318181818181818
hungary-2026,v2_sealed[old_sigma],43,0.043988518635476655,-0.0030604155477238198,0.9767441860465116,1.0,0.2427840743951346,0.2901632470150428,-0.1507282939703829,0.4290906019177169,0.9651515151515152
hungary-2026,v2_sealed[race_sigma],43,0.043988518635476655,-0.0030604155477238198,0.9069767441860465,0.9302325581395349,0.19624801693924157,0.23471602962078725,-0.1507282939703829,0.4290906019177169,0.9318181818181818
hungary-2026,v2_practice_only[old_sigma],43,0.044740439346068465,-0.006044063607535714,1.0,1.0,0.2667418346343129,0.3203482353811839,-0.15446138888600502,0.42766825023131116,0.9681818181818181
hungary-2026,v2_practice_only[race_sigma],43,0.044740439346068465,-0.006044063607535714,0.9534883720930233,1.0,0.22020577717841971,0.2649010179869283,-0.15446138888600502,0.42766825023131116,0.95
italy-2026,baseline_sealed[old_sigma],21,0.15439528383905254,-0.1528100427830909,0.8571428571428571,1.0,0.58126479541004,0.8683980603605038,0.01948051948051948,1.751305101678223,0.7908045977011494
italy-2026,baseline_sealed[race_sigma],21,0.15439528383905254,-0.1528100427830909,0.6190476190476191,0.7619047619047619,0.5485156396572635,0.8293777896763442,0.01948051948051948,1.751305101678223,0.767816091954023
italy-2026,baseline_practice_only[old_sigma],21,0.0287951679028726,0.012010273306313404,0.9523809523809523,1.0,0.13569369903995604,0.16352966484328,0.06103896103896104,0.2716795999846824,0.9839080459770115
italy-2026,baseline_practice_only[race_sigma],21,0.0287951679028726,0.012010273306313404,0.9523809523809523,0.9523809523809523,0.10294454328717932,0.12450939415912049,0.06103896103896104,0.2716795999846824,0.9517241379310345
italy-2026,v2_sealed[old_sigma],21,0.030281579836408293,-0.009043008873992956,1.0,1.0,0.15682425411334558,0.1927357599754466,-0.02956842795065004,0.2978070509415967,0.9839080459770115
italy-2026,v2_sealed[race_sigma],21,0.030281579836408293,-0.009043008873992956,0.9523809523809523,1.0,0.12420333245067734,0.15386827884545887,-0.02956842795065004,0.2978070509415967,0.9701149425287356
italy-2026,v2_practice_only[old_sigma],21,0.03107675418159536,0.01726235081698963,0.8571428571428571,1.0,0.12467030788808055,0.14958750304658436,-0.04429990928299925,0.29445854307245245,0.9862068965517241
italy-2026,v2_practice_only[race_sigma],21,0.03107675418159536,0.01726235081698963,0.7619047619047619,0.8571428571428571,0.09204938622541228,0.11072002191659665,-0.04429990928299925,0.29445854307245245,0.9494252873563218
