event,practice_only,shipped,sealed_meta,life_practice_only,life_shipped,race_lap_fe,ordered_lapfe,race_stint_fe,ordered_stintfe
australia-2026,1-stop M-H @ 40,1-stop H-M @ 36,1-stop H-M @ 36,"{'HARD': 2896.8, 'MEDIUM': 2593.2, 'SOFT': 2116.6}","{'HARD': 99.6, 'MEDIUM': 51.9, 'SOFT': 35.0}","{'HARD': 0.0336, 'MEDIUM': 0.0249, 'SOFT': 0.0445}",False,"{'HARD': 0.0389, 'MEDIUM': 0.0049, 'SOFT': 0.0515}",False
japan-2026,1-stop S-M @ 22,1-stop S-H @ 21,1-stop S-H @ 21,"{'HARD': 96.7, 'MEDIUM': 78.9, 'SOFT': 56.5}","{'HARD': 78.0, 'MEDIUM': 48.3, 'SOFT': 40.2}","{'HARD': 0.0204, 'MEDIUM': 0.0592}",True,"{'HARD': 0.0201, 'MEDIUM': 0.0538}",True
barcelona-2026,"2-stop S-H-H @ 18,42","2-stop M-H-H @ 19,43","2-stop M-H-H @ 19,43","{'HARD': 33.6, 'MEDIUM': 26.8, 'SOFT': 23.6}","{'HARD': 37.4, 'MEDIUM': 28.8, 'SOFT': 23.3}","{'HARD': 0.1105, 'MEDIUM': 0.1566, 'SOFT': 0.1722}",True,"{'MEDIUM': 0.1725, 'SOFT': 0.2094}",True
austria-2026,"2-stop S-H-H @ 18,45","2-stop M-H-H @ 23,47","2-stop M-H-H @ 23,47","{'HARD': 59.1, 'MEDIUM': 45.3, 'SOFT': 38.1}","{'HARD': 52.1, 'MEDIUM': 45.6, 'SOFT': 36.7}","{'HARD': 0.0783, 'MEDIUM': 0.0703, 'SOFT': 0.0504}",False,"{'HARD': 0.0753, 'MEDIUM': 0.0897, 'SOFT': 0.0663}",False
belgium-2026,1-stop S-H @ 19,1-stop S-M @ 24,1-stop S-M @ 24,"{'HARD': 48.1, 'MEDIUM': 37.0, 'SOFT': 29.8}","{'HARD': 50.6, 'MEDIUM': 41.8, 'SOFT': 44.6}","{'HARD': 0.0357, 'MEDIUM': 0.1166, 'SOFT': 0.0517}",False,"{'HARD': 0.0384, 'MEDIUM': 0.0746, 'SOFT': 0.0569}",False
hungary-2026,"2-stop S-H-H @ 19,45","2-stop M-H-M @ 23,47","2-stop M-H-M @ 23,47","{'HARD': 59.1, 'MEDIUM': 48.2, 'SOFT': 44.2}","{'HARD': 56.4, 'MEDIUM': 49.0, 'SOFT': 36.1}","{'HARD': 0.0824, 'MEDIUM': 0.0648, 'SOFT': 0.0475}",False,"{'HARD': 0.0873, 'MEDIUM': 0.0606, 'SOFT': 0.0568}",False
italy-2026,1-stop M-S @ 43,1-stop M-H @ 23,1-stop M-H @ 23,"{'HARD': 1036.5, 'MEDIUM': 827.7, 'SOFT': 643.3}","{'HARD': 93.2, 'MEDIUM': 55.3, 'SOFT': 45.3}","{'HARD': 0.0039, 'MEDIUM': 0.0106, 'SOFT': 0.0826}",True,"{'HARD': 0.0144, 'MEDIUM': 0.0204, 'SOFT': 0.0428}",True
