event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_width90,spearman,mae_lap,lap_cov90
australia-2026,sealed,23,0.048926073242024956,0.011897132561047992,0.782608695652174,0.14860985121685652,-0.14080011984168564,0.391320478996485,0.9011494252873563
australia-2026,practice_only,23,0.05529379153670663,0.04175520886886228,0.4782608695652174,0.11598831741399458,-0.13988455149527976,0.44360294510252507,0.8436781609195402
australia-2026,practice_no_regime,23,0.05419962700402046,0.037998095185389984,0.6521739130434783,0.12441436238496964,-0.12051269628757233,0.4350035994056395,0.8574712643678161
australia-2026,sealed_geomean,23,0.04896100050004064,0.012101677940039664,0.782608695652174,0.14831681381668052,-0.10337663216623197,0.3914117766970394,0.8988505747126436
australia-2026,sealed_perfect_t,23,0.048857181971274005,0.011142872861246966,0.782608695652174,0.14669587436597703,-0.06923031934160508,0.39098243189115295,0.9011494252873563
australia-2026,sealed_driver,23,0.04865649069686539,0.008661379822573768,0.782608695652174,0.15357286101320936,-0.09636768270473543,0.391320478996485,0.9011494252873563
australia-2026,history_only,19,0.05270488361435326,-0.005934259672620621,0.47368421052631576,0.08153922437166393,-0.11754640116243134,0.4107108956576162,0.8727272727272727
australia-2026,mixedlm_x_regime,23,0.04222825695130673,0.013681539628721952,0.6086956521739131,0.095945046092093,0.19686940712925902,0.37702112227882956,0.8850574712643678
australia-2026,season_loo,23,0.04898623131211665,0.003354012243220654,0.6086956521739131,0.095945046092093,-0.15616921537403797,0.3893746948690772,0.8735632183908046
australia-2026,zero,23,0.05888421875697923,0.0486581143241114,0.34782608695652173,0.095945046092093,,0.46139840848364494,0.8298850574712644
australia-2026,oracle_race,23,0.044712030413067476,0.015407058596064874,0.7391304347826086,0.095945046092093,0.348289548972824,0.37909985170384364,0.8873563218390804
japan-2026,sealed,19,0.029014425668219393,-0.028868403403796733,1.0,0.19934651780073495,0.4245166957273495,0.29212871006464924,0.9882352941176471
japan-2026,practice_only,19,0.01757506592857131,-0.006186870917087088,1.0,0.17799144574063394,0.4094413711780992,0.2593597323623622,0.9852941176470589
japan-2026,practice_no_regime,19,0.025254317262220032,-0.024631530288815158,1.0,0.1713393601527909,0.42339019740572564,0.28411341078190494,0.9794117647058823
japan-2026,sealed_geomean,19,0.027196063352417824,-0.026901670086580093,1.0,0.19637147285080364,0.4643597571399105,0.2883492234821677,0.9882352941176471
japan-2026,sealed_perfect_t,19,0.02652541067186262,-0.026113323645128184,1.0,0.17265689184162367,0.42339019740572564,0.2868815044219795,0.9823529411764705
japan-2026,sealed_driver,19,0.03782033429422416,-0.03735827476911933,1.0,0.21216365885974145,0.29473684210526313,0.29212871006464924,0.9882352941176471
japan-2026,history_only,19,0.06163271640929436,-0.06163271640929436,0.2631578947368421,0.10069896882574225,0.2287025869865642,0.39083613163481545,0.9029411764705882
japan-2026,mixedlm_x_regime,19,0.026145680656386772,0.0017889967882558323,0.7368421052631579,0.10069896882574227,0.4418912700593471,0.3057693944227881,0.9470588235294117
japan-2026,season_loo,19,0.01888292805123316,-0.009020802341767682,0.9473684210526315,0.10069896882574227,0.3801903204399333,0.2574029302768882,0.9529411764705882
japan-2026,zero,19,0.03634520664110604,0.03634520664110604,0.7368421052631579,0.10069896882574227,,0.30041556889593607,0.95
japan-2026,oracle_race,19,0.017307472130541207,-0.0024376868555970226,1.0,0.10069896882574225,0.43937088918765876,0.26765953966026174,0.9588235294117647
barcelona-2026,sealed,31,0.039823348676900266,0.010024088353506783,1.0,0.2513174620539515,0.2404431742156174,0.3784730797173828,0.9630350194552529
barcelona-2026,practice_only,31,0.04992896281388472,-0.02594057255350153,0.967741935483871,0.3401421760733758,0.22935306589500937,0.41940294344327433,0.9785992217898832
barcelona-2026,practice_no_regime,31,0.1395280810869601,-0.1381563344836532,0.6774193548387096,0.3539112659161814,0.22198673518721415,0.7654879324701371,0.877431906614786
barcelona-2026,sealed_geomean,31,0.04295380480804435,-0.011203638417307656,0.967741935483871,0.2809944537902547,0.15014834353386342,0.39086097338145387,0.9649805447470817
