event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_width90,spearman,mae_lap,lap_cov90
australia-2026,baseline_sealed[old_sigma],23,0.43440460140864834,-0.41744528427527533,0.9130434782608695,1.7670979974891865,-0.08201581027667984,4.524472802045878,0.7563218390804598
australia-2026,baseline_sealed[race_sigma],23,0.43440460140864834,-0.41744528427527533,0.6956521739130435,1.6763884856893931,-0.08201581027667984,4.524472802045878,0.7011494252873564
australia-2026,baseline_practice_only[old_sigma],23,0.05440132332711562,0.04216717063097443,0.8260869565217391,0.20262020793289826,-0.1314229249011858,0.4243501156846665,0.9747126436781609
australia-2026,baseline_practice_only[race_sigma],23,0.05440132332711562,0.04216717063097443,0.6086956521739131,0.11191069613310446,-0.1314229249011858,0.4243501156846665,0.8574712643678161
japan-2026,baseline_sealed[old_sigma],19,0.023756889692429034,-0.02110232664709729,1.0,0.2953167810472922,0.2834576841549152,0.2726720365541297,1.0
japan-2026,baseline_sealed[race_sigma],19,0.023756889692429034,-0.02110232664709729,1.0,0.18412182199449428,0.2834576841549152,0.2726720365541297,0.9852941176470589
japan-2026,baseline_practice_only[old_sigma],19,0.019520842812053168,0.0022342596234480373,1.0,0.26964354461150086,-0.04826678832359237,0.25219389930769004,0.9970588235294118
japan-2026,baseline_practice_only[race_sigma],19,0.019520842812053168,0.0022342596234480373,1.0,0.15844858555870292,-0.04826678832359237,0.25219389930769004,0.9705882352941176
barcelona-2026,baseline_sealed[old_sigma],31,0.04099488039009148,0.012987445917689236,1.0,0.334871506645166,-0.018145161290322582,0.38191629946066386,0.9863813229571985
barcelona-2026,baseline_sealed[race_sigma],31,0.04099488039009148,0.012987445917689236,1.0,0.2468826480915493,-0.018145161290322582,0.38191629946066386,0.9552529182879378
barcelona-2026,baseline_practice_only[old_sigma],31,0.0412896128868867,0.002529503360898205,1.0,0.34956687645455103,-0.018145161290322582,0.38598327183590725,0.9863813229571985
barcelona-2026,baseline_practice_only[race_sigma],31,0.0412896128868867,0.002529503360898205,0.967741935483871,0.2615780179009343,-0.018145161290322582,0.38598327183590725,0.9649805447470817
austria-2026,baseline_sealed[old_sigma],40,0.0319916451452865,-0.010236572990210364,1.0,0.3056787012137711,0.0727954971857411,0.34582552814098205,0.988155668358714
austria-2026,baseline_sealed[race_sigma],40,0.0319916451452865,-0.010236572990210364,1.0,0.2259064341980638,0.0727954971857411,0.34582552814098205,0.9644670050761421
austria-2026,baseline_practice_only[old_sigma],40,0.030197578162773554,0.0035026251632570516,1.0,0.28532896432275084,0.04934333958724203,0.3392896090874452,0.9813874788494078
austria-2026,baseline_practice_only[race_sigma],40,0.030197578162773554,0.0035026251632570516,1.0,0.20555669730704357,0.04934333958724203,0.3392896090874452,0.9576988155668359
belgium-2026,baseline_sealed[old_sigma],19,0.03028211424909071,-0.008967774725044978,1.0,0.19110371469008056,-0.5325140034074743,0.2873843633159228,0.9763313609467456
belgium-2026,baseline_sealed[race_sigma],19,0.03028211424909071,-0.008967774725044978,1.0,0.1853097549463755,-0.5325140034074743,0.2873843633159228,0.9644970414201184
belgium-2026,baseline_practice_only[old_sigma],19,0.03786126897626417,-0.019288867923033453,1.0,0.20801699866180168,-0.5395438912412364,0.3084782194795207,0.9822485207100592
belgium-2026,baseline_practice_only[race_sigma],19,0.03786126897626417,-0.019288867923033453,1.0,0.20222303891809656,-0.5395438912412364,0.3084782194795207,0.9763313609467456
hungary-2026,baseline_sealed[old_sigma],43,0.04626701956464353,0.016591645531223453,0.9534883720930233,0.23980031128908322,-0.25445484747810326,0.41589485078782107,0.9651515151515152
hungary-2026,baseline_sealed[race_sigma],43,0.04626701956464353,0.016591645531223453,0.8372093023255814,0.19327778518203415,-0.25445484747810326,0.41589485078782107,0.943939393939394
hungary-2026,baseline_practice_only[old_sigma],43,0.04862216042855328,0.03161976404818789,0.9069767441860465,0.22759919171581808,-0.25445484747810326,0.4145248687311545,0.9621212121212122
hungary-2026,baseline_practice_only[race_sigma],43,0.04862216042855328,0.03161976404818789,0.8837209302325582,0.18107666560876898,-0.25445484747810326,0.4145248687311545,0.9318181818181818
italy-2026,baseline_sealed[old_sigma],21,0.15439528383905257,-0.1528100427830909,0.8571428571428571,0.58126479541004,0.01948051948051948,1.751305101678223,0.7908045977011494
italy-2026,baseline_sealed[race_sigma],21,0.15439528383905257,-0.1528100427830909,0.6190476190476191,0.5485156396572635,0.01948051948051948,1.751305101678223,0.767816091954023
italy-2026,baseline_practice_only[old_sigma],21,0.0287951679028726,0.012010273306313404,0.9523809523809523,0.13569369903995604,0.06103896103896104,0.2716795999846824,0.9839080459770115
italy-2026,baseline_practice_only[race_sigma],21,0.0287951679028726,0.012010273306313404,0.9523809523809523,0.10294454328717932,0.06103896103896104,0.2716795999846824,0.9517241379310345
